event_number,event_number_niskin,date_time_utc,latitude,longitude,depth,replicate,POC_micromolar,PON_micromolar,POC_microg_perL,PON_microg_perL,C_to_N_molar_ratio,C_quality_flag,N_quality_flag
MVCO_380,MVCO_380_00,2017-04-14 15:35:00,41.325,-70.5657,0,a,33.474,5.341,402.044,74.804,6.268,1,1
MVCO_381,MVCO_381_01,2017-05-30 20:00:00,41.325,-70.5657,13,a,19.496,2.769,234.156,38.78,7.042,1,1
MVCO_381,MVCO_381_02,2017-05-30 20:00:00,41.325,-70.5657,10,a,23.956,3.517,287.733,49.257,6.812,1,1
MVCO_381,MVCO_381_03,2017-05-30 20:00:00,41.325,-70.5657,6,a,24.894,3.834,298.989,53.703,6.493,1,1
MVCO_381,MVCO_381_04,2017-05-30 20:00:00,41.325,-70.5657,2,a,27.464,3.947,329.859,55.283,6.958,1,1
MVCO_382,MVCO_382_01,2017-06-26 16:45:00,41.325,-70.5657,13,a,31.513,4.407,378.498,61.733,7.15,1,1
MVCO_382,MVCO_382_02,2017-06-26 16:45:00,41.325,-70.5657,10,a,25.082,3.826,301.253,53.585,6.556,1,1
MVCO_382,MVCO_382_02,2017-06-26 16:45:00,41.325,-70.5657,10,b,26.665,4.029,320.261,56.434,6.618,1,1
MVCO_382,MVCO_382_03,2017-06-26 16:45:00,41.325,-70.5657,6,a,25.698,3.936,308.657,55.135,6.529,1,1
MVCO_382,MVCO_382_04,2017-06-26 16:45:00,41.325,-70.5657,2,a,18.469,2.589,221.828,36.259,7.135,1,1
MVCO_383,MVCO_383_01,2017-07-28 19:00:00,41.325,-70.5657,13,a,27.261,3.88,327.426,54.349,7.026,1,1
MVCO_383,MVCO_383_02,2017-07-28 19:00:00,41.325,-70.5657,10,a,20.645,2.222,247.957,31.124,9.291,1,1
MVCO_383,MVCO_383_03,2017-07-28 19:00:00,41.325,-70.5657,6,a,37.167,3.092,446.401,43.312,12.019,1,1
MVCO_383,MVCO_383_04,2017-07-28 19:00:00,41.325,-70.5657,2,a,29.776,2.729,357.634,38.225,10.911,1,1
MVCO_384,MVCO_384_01,2017-08-02 17:00:00,41.325,-70.5657,13,a,16.875,2.501,202.681,35.028,6.748,1,1
MVCO_384,MVCO_384_02,2017-08-02 17:00:00,41.325,-70.5657,10,a,18.77,2.325,225.436,32.566,8.073,1,1
MVCO_384,MVCO_384_03,2017-08-02 17:00:00,41.325,-70.5657,6,a,17.997,2.493,216.159,34.915,7.22,1,1
MVCO_384,MVCO_384_03,2017-08-02 17:00:00,41.325,-70.5657,6,b,16.014,2.072,192.343,29.024,7.728,1,1
MVCO_384,MVCO_384_04,2017-08-02 17:00:00,41.325,-70.5657,2,a,16.042,1.642,192.679,23.004,9.768,1,1
MVCO_385,MVCO_385_00,2017-08-21 19:30:00,41.325,-70.5657,0,a,33.211,3.758,398.886,52.632,8.838,1,1
MVCO_385,MVCO_385_00,2017-08-21 19:30:00,41.325,-70.5657,0,b,32.222,3.469,387.004,48.587,9.289,1,1
MVCO_387,MVCO_387_02,2017-10-17 17:20:00,41.325,-70.5657,10,a,23.051,3.277,276.863,45.895,7.035,1,1
MVCO_387,MVCO_387_03,2017-10-17 17:20:00,41.325,-70.5657,6,a,22.018,2.837,264.45,39.74,7.76,1,1
MVCO_387,MVCO_387_04,2017-10-17 17:20:00,41.325,-70.5657,2,a,23.018,3.026,276.468,42.385,7.607,1,1
MVCO_388,MVCO_388_01,2017-11-15 17:45:00,41.325,-70.5657,13,a,20.593,2.548,247.338,35.683,8.083,1,1
MVCO_388,MVCO_388_02,2017-11-15 17:45:00,41.325,-70.5657,10,a,38.952,3.058,467.837,42.826,12.74,4,1
MVCO_388,MVCO_388_03,2017-11-15 17:45:00,41.325,-70.5657,6,a,20.403,2.599,245.049,36.4,7.851,1,1
MVCO_388,MVCO_388_04,2017-11-15 17:45:00,41.325,-70.5657,2,a,21.708,2.862,260.731,40.088,7.585,1,1
MVCO_389,MVCO_389_01,2017-12-04 17:00:00,41.325,-70.5657,13,a,22.274,2.662,267.525,37.282,8.368,1,1
MVCO_389,MVCO_389_02,2017-12-04 17:00:00,41.325,-70.5657,10,a,21.545,2.893,258.776,40.525,7.447,1,1
MVCO_389,MVCO_389_04,2017-12-04 17:00:00,41.325,-70.5657,2,a,22.076,2.711,265.144,37.977,8.142,1,1
MVCO_389,MVCO_389_03,2017-12-04 17:00:00,41.325,-70.5657,6,a,22.283,2.949,267.634,41.311,7.555,1,1
MVCO_390,MVCO_390_01,2018-01-22 17:40:00,41.325,-70.5657,15,a,26.55,3.249,318.887,45.511,8.171,1,1
MVCO_390,MVCO_390_02,2018-01-22 17:40:00,41.325,-70.5657,10,a,37.833,3.623,454.404,50.748,10.442,1,1
MVCO_390,MVCO_390_03,2018-01-22 17:40:00,41.325,-70.5657,6,a,36.418,3.48,437.403,48.744,10.465,1,1
MVCO_390,MVCO_390_04,2018-01-22 17:40:00,41.325,-70.5657,2,a,36.854,2.895,442.645,40.555,12.729,1,1
MVCO_391,MVCO_391_01,2018-02-27 16:30:00,41.325,-70.5657,13,a,37.099,4.752,445.59,66.564,7.807,1,1
MVCO_391,MVCO_391_02,2018-02-27 16:30:00,41.325,-70.5657,10,a,37.49,4.392,450.279,61.517,8.536,1,1
MVCO_391,MVCO_391_03,2018-02-27 16:30:00,41.325,-70.5657,6,a,23.038,3.152,276.701,44.15,7.309,1,1
MVCO_391,MVCO_391_04,2018-02-27 16:30:00,41.325,-70.5657,2,a,23.584,3.186,283.261,44.622,7.403,1,1
MVCO_392,MVCO_392_01,2018-03-24 17:42:00,41.325,-70.5657,14,a,34.98,4.781,420.138,66.962,7.317,1,1
MVCO_392,MVCO_392_02,2018-03-24 17:42:00,41.325,-70.5657,9,a,25.026,3.086,300.577,43.229,8.109,1,1
MVCO_392,MVCO_392_03,2018-03-24 17:42:00,41.325,-70.5657,5,a,26.786,2.91,321.717,40.757,9.205,1,1
MVCO_392,MVCO_392_04,2018-03-24 17:42:00,41.325,-70.5657,2,a,50.665,8.866,608.521,124.177,5.715,1,1
MVCO_393,MVCO_393_00,2018-04-11 13:30:00,41.325,-70.5657,0,a,46.607,5.513,559.78,77.215,8.454,1,1
MVCO_394,MVCO_394_00,2018-05-23 11:30:00,41.325,-70.5657,0,a,43.6,3.944,523.666,55.237,11.056,1,1
MVCO_394,MVCO_394_00,2018-05-23 11:30:00,41.325,-70.5657,0,b,44.274,4.058,531.761,56.843,10.91,1,1
MVCO_395,MVCO_395_00,2018-06-08 15:45:00,41.325,-70.5657,0,a,31.058,2.522,373.023,35.319,12.317,3,3
MVCO_396,MVCO_396_00,2018-06-21 17:50:00,41.325,-70.5657,0,a,24.045,2.989,288.802,41.873,8.043,1,1
MVCO_397,MVCO_397_00,2018-07-02 16:00:00,41.325,-70.5657,0,a,20.161,2.264,242.148,31.706,8.906,1,1
MVCO_398,MVCO_398_00,2018-08-10 15:30:00,41.325,-70.5657,0,a,23.622,2.686,283.715,37.619,8.795,1,1
MVCO_398,MVCO_398_00,2018-08-10 15:30:00,41.325,-70.5657,0,b,22.455,2.708,269.696,37.927,8.293,1,1
MVCO_399,MVCO_399_00,2018-08-28 16:15:00,41.325,-70.5657,0,a,19.692,2.36,236.514,33.058,8.343,3,3
MVCO_399,MVCO_399_00,2018-08-28 16:15:00,41.325,-70.5657,0,b,26.201,3.499,314.691,49.012,7.488,3,3
