event_number,event_number_niskin,date_time_utc,latitude,longitude,depth,replicate,POC_micromolar,PON_micromolar,POC_microg_perL,PON_microg_perL,C_to_N_molar_ratio,C_quality_flag,N_quality_flag
MVCO_432,MVCO_432_03,2020-08-21 17:10:00,41.325,-70.5657,6,a,33.362,3.961,400.705,55.484,8.422,1,1
MVCO_432,MVCO_432_04,2020-08-21 17:10:00,41.325,-70.5657,2,a,74.98,11.839,900.558,165.823,6.333,1,1
MVCO_433,MVCO_433_01,2020-09-24 16:00:00,41.325,-70.5657,13,a,28.039,3.926,336.769,54.989,7.142,1,1
MVCO_433,MVCO_433_02,2020-09-24 16:00:00,41.325,-70.5657,10,a,15.987,2.623,192.015,36.734,6.096,1,1
MVCO_433,MVCO_433_03,2020-09-24 16:00:00,41.325,-70.5657,6,a,16.778,2.593,201.516,36.323,6.47,1,1
MVCO_433,MVCO_433_04,2020-09-24 16:00:00,41.325,-70.5657,2,a,13.973,1.946,167.82,27.264,7.178,1,1
MVCO_434,MVCO_434_01,2020-10-15 16:00:00,41.325,-70.5657,13,a,18.334,2.63,220.207,36.837,6.971,1,1
MVCO_434,MVCO_434_02,2020-10-15 16:00:00,41.325,-70.5657,10,a,24.706,3.127,296.735,43.805,7.9,1,1
MVCO_434,MVCO_434_03,2020-10-15 16:00:00,41.325,-70.5657,6,a,20.38,3.093,244.779,43.318,6.59,1,1
MVCO_434,MVCO_434_04,2020-10-15 16:00:00,41.325,-70.5657,2,a,24.761,3.655,297.394,51.193,6.775,1,1
MVCO_435,MVCO_435_00,2020-11-19 16:00:00,41.325,-70.5657,0,a,31.937,5.538,383.589,77.565,5.767,1,1
MVCO_435,MVCO_435_00,2020-11-19 16:00:00,41.325,-70.5657,0,b,26.98,3.678,324.048,51.512,7.336,1,1
